unicum,nuntium
anglica.titula,Phrase Factory
latina.titula,Structor Verborum
anglici.annuli.quaerere,Search
latini.annuli.quaerere,Quaerere
anglici.annuli.numerare,Enumerate
latini.annuli.numerare,Numerare
anglici.annuli.calculare,Calculate
anglici.annuli.calculare,Calculare
anclicum.rogatum,What would you like to do or say?
latinum.rogatum,Quid agere loquive velles
anglicum.colloqui,Let's talk
latinum.colloqui,Colloquamur
anglicum.assentire,Agree
latinum.assentire,Assentio
anglicum.negare,Refuse
latinum.negare,Nego
anglicum.deCrustulis,"Hic crustula utantur ut singulas opteris pro usu tibi, aut crustula condita negare optares et situm immutatum utereris, atque solum crustulum conditum erit renutus eorum.<br><br>Noteris quod crustula plura mutabunt modum pariendo locutionum ergo infidum esset vertere huc illucque.</div>"
latinum.deCrustulis,"Here cookies are used so that you may choose details for your own experience. Or you can choose not to store cookies and use the site unchanged in this case, the only cookie stored would be your refusal of them.<br><br>Note that most of these cookies will modify the method of generating phrases, so switching them back-and-forth between modes will be unreliable.</div>"
