modus,vox,tempus,scriptum,numerus,persona
infinitivus,activa,praesens,dare
infinitivus,passiva,praesens,darī
imperativus,activa,praesens,date,pluralis
imperativus,activa,futurum,datō,singularis
imperativus,activa,futurum,datōte,pluralis
imperativus,passiva,praesens,dare,singularis
imperativus,passiva,praesens,daminī,pluralis
imperativus,passiva,futurum,dator,singularis
imperativus,passiva,futurum,dantor,pluralis
indicativus,activa,praesens,damus,pluralis,prima
indicativus,activa,praesens,datis,pluralis,secunda
indicativus,activa,infectum,dabam,singularis,prima
indicativus,activa,infectum,dabās,singularis,secunda
indicativus,activa,infectum,dabat,singularis,terta
indicativus,activa,infectum,dabāmus,pluralis,prima
indicativus,activa,infectum,dabātis,pluralis,secunda
indicativus,activa,infectum,dabant,pluralis,terta
indicativus,activa,futurum,dabō,singularis,prima
indicativus,activa,infectum,dabis,singularis,secunda
indicativus,activa,infectum,dabit,singularis,terta
indicativus,activa,infectum,dabimus,pluralis,prima
indicativus,activa,infectum,dabitis,pluralis,secunda
indicativus,activa,infectum,dabunt,pluralis,terta
indicativus,passiva,praesens,daris,singularis,secunda
indicativus,passiva,praesens,datur,singularis,terta
indicativus,passiva,praesens,damur,pluralis,prima
indicativus,passiva,praesens,daminī,pluralis,secunda
indicativus,passiva,infectum,dabar,singularis,prima
indicativus,passiva,infectum,dabāris,singularis,secunda
indicativus,passiva,infectum,dabātur,singularis,terta
indicativus,passiva,infectum,dabāmur,pluralis,prima
indicativus,passiva,infectum,dabāminī,pluralis,secunda
indicativus,passiva,infectum,dabantur,pluralis,terta
indicativus,passiva,futurum,dabor,singularis,prima
indicativus,passiva,futurum,daberis,singularis,secunda
indicativus,passiva,futurum,dabitur,singularis,terta
indicativus,passiva,futurum,dabimur,pluralis,prima
indicativus,passiva,futurum,dabiminī,pluralis,secunda
indicativus,passiva,futurum,dabuntur,pluralis,terta
subiunctivus,activa,infectum,darem,singularis,prima
subiunctivus,activa,infectum,darēs,singularis,secunda
subiunctivus,activa,infectum,daret,singularis,terta
subiunctivus,activa,infectum,darēmus,pluralis,prima
subiunctivus,activa,infectum,darētis,pluralis,secunda
subiunctivus,activa,infectum,darent,pluralis,terta
subiunctivus,passiva,infectum,darer,singularis,prima
subiunctivus,passiva,infectum,darēris,singularis,secunda
subiunctivus,passiva,infectum,darētur,singularis,terta
subiunctivus,passiva,infectum,darēmur,pluralis,prima
subiunctivus,passiva,infectum,darēminī,pluralis,secunda
subiunctivus,passiva,infectum,darentur,pluralis,terta
