modus,scriptum,tempus,numerus,persona,vox
particpium,futūrum
infinitivus,esse,praesens
infinitivus,fuisse,perfectum
imperativus,estō,,singularis
imperativus,estōte,,pluralis
indicativus,sum,praesens,singularis,prima
indicativus,es,praesens,singularis,secunda
indicativus,est,praesens,singularis,tertia
indicativus,sumus,praesens,pluralis,prima
indicativus,estis,praesens,pluralis,secunda
indicativus,sunt,praesens,pluralis,tertia
indicativus,eram,infectum,singularis,prima
indicativus,erās,infectum,singularis,secunda
indicativus,erat,infectum,singularis,tertia
indicativus,erāmus,infectum,pluralis,prima
indicativus,erātis,infectum,pluralis,secunda
indicativus,erant,infectum,pluralis,tertia
indicativus,erō,furutum,singularis,prima
indicativus,eris,furutum,singularis,secunda
indicativus,erit,furutum,singularis,tertia
indicativus,erimus,furutum,pluralis,prima
indicativus,eritis,furutum,pluralis,secunda
indicativus,erunt,furutum,pluralis,tertia
indicativus,fuī,perfectum,singularis,prima
indicativus,fuistī,perfectum,singularis,secunda
indicativus,fuit,perfectum,singularis,tertia
indicativus,fuimus,perfectum,pluralis,prima
indicativus,fuitis,perfectum,pluralis,secunda
indicativus,fuērunt,perfectum,pluralis,tertia
indicativus,fueram,pluperfectum,singularis,prima
indicativus,fuerās,pluperfectum,singularis,secunda
indicativus,fuerat,pluperfectum,singularis,tertia
indicativus,fuerāmus,pluperfectum,pluralis,prima
indicativus,fuerātis,pluperfectum,pluralis,secunda
indicativus,fuerant,pluperfectum,pluralis,tertia
indicativus,fuerō,exigendum,singularis,prima
indicativus,fueris,exigendum,singularis,secunda
indicativus,fuerit,exigendum,singularis,tertia
indicativus,fuerimus,exigendum,pluralis,prima
indicativus,fueritis,exigendum,pluralis,secunda
indicativus,fuerint,exigendum,pluralis,secunda
subiunctivus,sim,praesens,singularis,prima
subiunctivus,sīs,praesens,singularis,secunda
subiunctivus,sit,praesens,singularis,secunda
subiunctivus,sīmus,praesens,pluralis,prima
subiunctivus,sītis,praesens,pluralis,secunda
subiunctivus,sint,praesens,pluralis,tertia
subiunctivus,essem,infectum,singularis,prima
subiunctivus,essēs,infectum,singularis,secunda
subiunctivus,esset,infectum,singularis,tertia
subiunctivus,essēmus,infectum,pluralis,prima
subiunctivus,essētis,infectum,pluralis,secunda
subiunctivus,essent,infectum,pluralis,tertia
subiunctivus,fuerim,perfectum,singularis,prima
subiunctivus,fuerīs,perfectum,singularis,secunda
subiunctivus,fuerit,perfectum,singularis,tertia
subiunctivus,fuerīmus,perfectum,pluralis,prima
subiunctivus,fuerītis,perfectum,pluralis,secunda
subiunctivus,fuerint,perfectum,pluralis,tertia
