modus,tempus,vox,scriptum,numerus,persona
indicativus,praesens,activa,fers,singularis,secunda
indicativus,praesens,activa,fert,singularis,tertia
indicativus,praesens,activa,fertis,pluralis,secunda
subiunctivus,infectum,activa,ferrem,singularis,prima
subiunctivus,infectum,activa,ferrēs,singularis,secunda
subiunctivus,infectum,activa,ferret,singularis,tertia
subiunctivus,infectum,activa,ferrēmus,pluralis,prima
subiunctivus,infectum,activa,ferrētis,pluralis,secunda
subiunctivus,infectum,activa,ferrent,pluralis,tertia
subiunctivus,infectum,passiva,ferrer,singularis,prima
subiunctivus,infectum,passiva,ferrēris,singularis,secunda
subiunctivus,infectum,passiva,ferrētur,singularis,tertia
subiunctivus,infectum,passiva,ferrēmur,pluralis,prima
subiunctivus,infectum,passiva,ferrēminī,pluralis,secunda
subiunctivus,infectum,passiva,ferrentur,pluralis,tertia
imperativus,praesens,activa,ferte,pluralis,
imperativus,praesens,passiva,ferre,singularis,
imperativus,futurum,activa,fertō,singularis,
imperativus,futurum,activa,fertōte,pluralis,
imperativus,futurum,passiva,fertor,singularis,
indicativus,praesens,activa,ferre,,
indicativus,praesens,passiva,ferrī,,
