modus,tempus,vox,scriptum,numerus,persona
indicativus,praesens,activa,eō,singularis,prima
indicativus,praesens,activa,īs,singularis,secunda
indicativus,praesens,activa,it,singularis,tertia
indicativus,praesens,activa,īmus,pluralis,prima
indicativus,praesens,activa,ītis,pluralis,secunda
indicativus,infectum,activa,ībam,singularis,prima
indicativus,infectum,activa,ībās,singularis,secunda
indicativus,infectum,activa,ībat,singularis,tertia
indicativus,infectum,activa,ībimus,pluralis,prima
indicativus,infectum,activa,ībātis,pluralis,secunda
indicativus,infectum,activa,ībant,pluralis,tertia
indicativus,futurum,activa,ībō,singularis,prima
indicativus,futurum,activa,ībis,singularis,secunda
indicativus,futurum,activa,ībit,singularis,tertia
indicativus,futurum,activa,ībimus,pluralis,prima
indicativus,futurum,activa,ībitis,pluralis,secunda
indicativus,futurum,activa,ībunt,pluralis,tertia
indicativus,perfectum,activa,īvī,singularis,prima
indicativus,perfectum,activa,īvistī,singularis,secunda
indicativus,perfectum,activa,īvit,singularis,tertia
indicativus,perfectum,activa,īvimus,pluralis,prima
indicativus,perfectum,activa,īvistis,pluralis,secunda
indicativus,perfectum,activa,īvērunt,pluralis,tertia
indicativus,plusquamperfectum,activa,īveram,singularis,prima
indicativus,plusquamperfectum,activa,īverās,singularis,secunda
indicativus,plusquamperfectum,activa,īverat,singularis,tertia
indicativus,plusquamperfectum,activa,īverāmus,pluralis,prima
indicativus,plusquamperfectum,activa,īverātis,pluralis,secunda
indicativus,plusquamperfectum,activa,īverant,pluralis,tertia
indicativus,exigendum,activa,īverō,singularis,prima
indicativus,exigendum,activa,īveris,singularis,secunda
indicativus,exigendum,activa,īverit,singularis,tertia
indicativus,exigendum,activa,īverimus,pluralis,prima
indicativus,exigendum,activa,īveritis,pluralis,secunda
indicativus,exigendum,activa,īverint,pluralis,tertia
indicativus,praesens,passiva,ītur,singularis,tertia
indicativus,infectum,passiva,ībātur,singularis,tertia
indicativus,futurum,passiva,ībitur,singularis,tertia
subiunctivus,praesens,activa,eam,singularis,prima
subiunctivus,praesens,activa,eās,singularis,secunda
subiunctivus,praesens,activa,eat,singularis,tertia
subiunctivus,praesens,activa,eāmus,pluralis,prima
subiunctivus,praesens,activa,eātis,pluralis,secunda
subiunctivus,praesens,activa,eant,pluralis,tertia
subiunctivus,infectum,activa,īrem,singularis,prima
subiunctivus,infectum,activa,īrēs,singularis,secunda
subiunctivus,infectum,activa,īret,singularis,tertia
subiunctivus,infectum,activa,īrēmus,pluralis,prima
subiunctivus,infectum,activa,īrētis,pluralis,secunda
subiunctivus,infectum,activa,īrent,pluralis,tertia
subiunctivus,praesens,passiva,eātur,singularis,tertia
subiunctivus,infectum,passiva,īrētur,singularis,tertia
imperativus,praesens,activa,ī,singularis,
imperataivus,praesens,activa,īte,pluralis,
imperativus,praesens,passiva,ītor,singularis,
imperativus,futurum,activa,ītō,singularis,
imperativus,futurum,activa,ītōte,pluralis,
infinitivus,praesens,activa,īre,,
infinitivus,perfectum,activa,īsse,,
infinitivus,praesens,activa,īrī,,
participium,praesens,activa,iēns,,
participium,perfectum,passiva,itum,,
participium,futurum,activa,itūrum,,
participium,futurum,passiva,eundum,,
