gradus,genus,numerus,casus,scriptum
comparativus,,singularis,nominativus,plūs
comparativus,,singularis,genitivus,plūrium
comparativus,,singularis,accusativus,plūs
comparativus,,singularis,vocativus,plūs
comparativus,,pluralis,dativus,plūribus
comparativus,,pluralis,ablativus,plūribus
comparativus,,pluralis,locativus,plūribus
comparativus,,pluralis,genitivus,plūris
comparativus,neutrum,pluralis,nominativus,plūra
comparativus,neutrum,pluralis,accusativus,plūra
comparativus,neutrum,pluralis,vocativus,plūra
comparativus,masculinum,pluralis,nominativus,plūrēs
comparativus,masculinum,pluralis,accusativus,plūrēs
comparativus,masculinum,pluralis,vocativus,plūrēs
comparativus,femininum,pluralis,nominativus,plūrēs
comparativus,femininum,pluralis,accusativus,plūrēs
comparativus,femininum,pluralis,vocativus,plūrēs
