numerus,casus,scriptum,genus
singularis,genitivus,huius
singularis,dativus,huic
pluralis,dativus,hīs
pluralis,ablativus,hīs
pluralis,locativus,hīs
singularis,nominativus,hoc,neutrum
singularis,accusativus,hoc,neutrum
singularis,ablativus,hōc,neutrum
singularis,locativus,hōc,neutrum
singularis,vocativus,hoc,neutrum
pluralis,nominativus,haec,neutrum
pluralis,genitivus,hōrum,neutrum
pluralis,accusativus,haec,neutrum
pluralis,vocativus,haec,neutrum
singularis,nominativus,hic,masculinum
singularis,accusativus,hunc,masculinum
singularis,ablativus,hōc,masculinum
singularis,locativus,hōc,masculinum
singularis,vocativus,hic,masculinum
pluralis,nominativus,hī,masculinum
pluralis,genitivus,hōrum,masculinum
pluralis,accusativus,hōs,masculinum
pluralis,vocativus,hī,masculinum
singularis,nominativus,haec,femininum
singularis,accusativus,hanc,femininum
singularis,ablativus,hāc,femininum
singularis,locativus,hāc,femininum
singularis,vocativus,haec,femininum
pluralis,nominativus,haec,femininum
pluralis,genitivus,hārum,femininum
pluralis,accusativus,hās,femininum
pluralis,vocativus,haec,femininum
