numerus,casus,scriptum,genus
singularis,genitivus,eius
singularis,dativus,eī
pluralis,dativus,eīs
pluralis,ablativus,eīs
pluralis,locativus,eīs
singularis,nominativus,id,neutrum
singularis,accusativus,id,neutrum
singularis,ablativus,eō,neutrum
singularis,locativus,eō,neutrum
singularis,vocativus,id,neutrum
pluralis,nominativus,ea,neutrum
pluralis,genitivus,eōrum,neutrum
pluralis,accusativus,ea,neutrum
pluralis,vocativus,ea,neutrum
singularis,nominativus,is,masculinum
singularis,accusativus,eum,masculinum
singularis,ablativus,eō,masculinum
singularis,locativus,eō,masculinum
singularis,vocativus,is,masculinum
pluralis,nominativus,eī,masculinum
pluralis,genitivus,eōrum,masculinum
pluralis,accusativus,eōs,masculinum
pluralis,vocativus,eī,masculinum
singularis,nominativus,eae,femininum
singularis,accusativus,eam,femininum
singularis,ablativus,eā,femininum
singularis,locativus,eā,femininum
singularis,vocativus,ea,femininum
pluralis,nominativus,eae,femininum
pluralis,genitivus,eārum,femininum
pluralis,accusativus,eās,femininum
pluralis,vocativus,eae,femininum
