modus,vox,tempus,scriptum,numerus,persona
infinitivus,activa,praesens,īre
infinitivus,activa,perfectum,isse
infinitivus,passiva,praesens,īrī
participalis,activa,praesens,iēns
participalis,passiva,perfectum,um
participalis,passiva,futurum,iendum
participalis,activa,futurum,ūrum
imperativus,activa,praesens,ī,singularis
imperativus,activa,praesens,īte,pluralis
imperativus,activa,futurum,ītō,singularis
imperativus,activa,futurum,ītōte,pluralis
imperativus,passiva,praesens,īre,singularis
imperativus,passiva,praesens,īminī,pluralis
imperativus,passiva,futurum,ītor,singularis
imperativus,passiva,futurum,iuntor,pluralis
indicativus,activa,praesens,iō,singularis,prima
indicativus,activa,praesens,īmus,pluralis,prima
indicativus,activa,infectum,iēbam,singularis,prima
indicativus,activa,infectum,iēbāmus,pluralis,prima
indicativus,activa,futurum,iam,singularis,prima
indicativus,activa,futurum,iēmus,pluralis,prima
indicativus,activa,perfectum,ī,singularis,prima
indicativus,activa,perfectum,imus,pluralis,prima
indicativus,activa,pluperfectum,eram,singularis,prima
indicativus,activa,pluperfectum,erāmus,pluralis,prima
indicativus,activa,exigendum,erō,singularis,prima
indicativus,activa,exigendum,erimus,pluralis,prima
indicativus,passiva,praesens,ior,singularis,prima
indicativus,passiva,praesens,īmur,pluralis,prima
indicativus,passiva,infectum,iēbar,singularis,prima
indicativus,passiva,infectum,iēbāmur,pluralis,prima
indicativus,passiva,futurum,iar,singularis,prima
indicativus,passiva,futurum,iēmur,pluralis,prima
subiunctivus,activa,praesens,iam,singularis,prima
subiunctivus,activa,praesens,iāmus,pluralis,prima
subiunctivus,activa,infectum,īrem,singularis,prima
subiunctivus,activa,infectum,īrēmus,pluralis,prima
subiunctivus,activa,perfectum,erim,singularis,prima
subiunctivus,activa,perfectum,erīmus,pluralis,prima
subiunctivus,activa,pluperfectum,issem,singularis,prima
subiunctivus,activa,pluperfectum,issēmus,pluralis,prima
subiunctivus,passiva,praesens,iar,singularis,prima
subiunctivus,passiva,praesens,iāmur,pluralis,prima
subiunctivus,passiva,infectum,īrer,singularis,prima
subiunctivus,passiva,infectum,īrēmur,pluralis,prima
indicativus,activa,praesens,īs,singularis,secunda
indicativus,activa,praesens,ītis,pluralis,secunda
indicativus,activa,infectum,iēbās,singularis,secunda
indicativus,activa,infectum,iēbātis,pluralis,secunda
indicativus,activa,futurum,iēs,singularis,secunda
indicativus,activa,futurum,iētis,pluralis,secunda
indicativus,activa,perfectum,istī,singularis,secunda
indicativus,activa,perfectum,istis,pluralis,secunda
indicativus,activa,pluperfectum,erās,singularis,secunda
indicativus,activa,pluperfectum,erāstis,pluralis,secunda
indicativus,activa,exigendum,eris,singularis,secunda
indicativus,activa,exigendum,eristis,pluralis,secunda
indicativus,passiva,praesens,eris,singularis,secunda
indicativus,passiva,praesens,iminī,pluralis,secunda
indicativus,passiva,infectum,iēbāris,singularis,secunda
indicativus,passiva,infectum,iēbāminī,pluralis,secunda
indicativus,passiva,futurum,iēris,singularis,secunda
indicativus,passiva,futurum,iēminī,pluralis,secunda
subiunctivus,activa,praesens,iās,singularis,secunda
subiunctivus,activa,praesens,iātis,pluralis,secunda
subiunctivus,activa,infectum,īrēs,singularis,secunda
subiunctivus,activa,infectum,īrētis,singularis,secunda
subiunctivus,activa,perfectum,erīs,singularis,secunda
subiunctivus,activa,perfectum,erītis,singularis,secunda
subiunctivus,activa,pluperfectum,issēs,singularis,secunda
subiunctivus,activa,pluperfectum,issētis,pluralis,secunda
subiunctivus,passiva,praesens,iāris,singularis,secunda
subiunctivus,passiva,praesens,iāminī,pluralis,secunda
subiunctivus,passiva,infectum,īrēris,singularis,secunda
subiunctivus,passiva,infectum,īrēminī,pluralis,secunda
indicativus,activa,praesens,it,singularis,tertia
indicativus,activa,praesens,iunt,pluralis,tertia
indicativus,activa,infectum,iēbat,singularis,tertia
indicativus,activa,infectum,iēbant,pluralis,tertia
indicativus,activa,futurum,iet,singularis,tertia
indicativus,activa,futurum,ient,pluralis,tertia
indicativus,activa,perfectum,it,singularis,tertia
indicativus,activa,perfectum,ērunt,pluralis,tertia
indicativus,activa,pluperfectum,erat,singularis,tertia
indicativus,activa,pluperfectum,erant,pluralis,tertia
indicativus,activa,exigendum,erit,singularis,tertia
indicativus,activa,exigendum,erint,pluralis,tertia
indicativus,passiva,praesens,ītur,singularis,tertia
indicativus,passiva,praesens,iuntur,pluralis,tertia
indicativus,passiva,infectum,iēbātur,singularis,tertia
indicativus,passiva,infectum,iēbantur,pluralis,tertia
indicativus,passiva,futurum,iētur,singularis,tertia
indicativus,passiva,futurum,ientur,pluralis,tertia
subiunctivus,activa,praesens,iat,singularis,tertia
subiunctivus,activa,praesens,iant,pluralis,tertia
subiunctivus,activa,infectum,īret,singularis,tertia
subiunctivus,activa,infectum,īrent,pluralis,tertia
subiunctivus,activa,perfectum,erit,singularis,tertia
subiunctivus,activa,perfectum,erint,pluralis,tertia
subiunctivus,activa,pluperfectum,isset,singularis,tertia
subiunctivus,activa,pluperfectum,issent,pluralis,tertia
subiunctivus,passiva,praesens,iātur,singularis,tertia
subiunctivus,passiva,praesens,iantur,pluralis,tertia
subiunctivus,passiva,infectum,īrētur,singularis,tertia
subiunctivus,passiva,infectum,īrentur,pluralis,tertia
