modus,vox,tempus,scriptum,numerus,persona
indicativus,activa,praesens,ere
indicativus,activa,perfectum,isse
infinitivus,passiva,praesens,ī
participium,activa,praesens,iēns
participium,activa,perfectum,um
participium,activa,futurum,iendum
participium,passiva,futurum,ūrum
imperativus,activa,praesens,e,singularis
imperativus,activa,praesens,ite,pluralis
imperativus,activa,futurum,itō,singulars
imperativus,activa,futurum,itōte,pluralis
imperativus,passiva,praesens,ere,singularis
imperativus,passiva,praesens,iminī,pluralis
imperativus,passiva,futurum,itor,singularis
imperativus,passiva,futurum,iuntor,pluralis
indicativus,activa,praesens,iō,singularis,prima
indicativus,activa,praesens,is,singularis,secunda
indicativus,activa,praesens,it,singularis,tertia
indicativus,activa,praesens,imus,pluralis,prima
indicativus,activa,praesens,itis,pluralis,secunda
indicativus,activa,praesens,iunt,pluralis,tertia
indicativus,activa,infectum,iēbam,singularis,prima
indicativus,activa,infectum,iēbās,singularis,secunda
indicativus,activa,infectum,iēbat,singularis,tertia
indicativus,activa,infectum,iēbāmus,pluralis,prima
indicativus,activa,infectum,iēbātis,pluralis,secunda
indicativus,activa,infectum,iēbant,pluralis,tertia
indicativus,activa,futurum,iam,singularis,prima
indicativus,activa,futurum,iēs,singularis,secunda
indicativus,activa,futurum,iet,singularis,tertia
indicativus,activa,futurum,iēmus,pluralis,prima
indicativus,activa,futurum,iētis,pluralis,secunda
indicativus,activa,futurum,ient,pluralis,tertia
indicativus,activa,perfectum,ī,singularis,prima
indicativus,activa,perfectum,istī,singularis,secunda
indicativus,activa,perfectum,it,singularis,tertia
indicativus,activa,perfectum,imus,pluralis,prima
indicativus,activa,perfectum,istis,pluralis,secunda
indicativus,activa,perfectum,ērunt,pluralis,tertia
indicativus,activa,pluperfectum,eram,singularis,prima
indicativus,activa,pluperfectum,erās,singularis,secunda
indicativus,activa,pluperfectum,erat,singularis,tertia
indicativus,activa,pluperfectum,erāmus,pluralis,prima
indicativus,activa,pluperfectum,erātis,pluralis,secunda
indicativus,activa,pluperfectum,erant,pluralis,tertia
indicativus,activa,exigendum,erō,singularis,prima
indicativus,activa,exigendum,eris,singularis,secunda
indicativus,activa,exigendum,erit,singularis,tertia
indicativus,activa,exigendum,erimus,pluralis,prima
indicativus,activa,exigendum,eritis,pluralis,secunda
indicativus,activa,exigendum,erint,pluralis,tertia
indicativus,passiva,praesens,ior,singularis,prima
indicativus,passiva,praesens,eris,singularis,secunda
indicativus,passiva,praesens,itur,singularis,tertia
indicativus,passiva,praesens,imur,pluralis,prima
indicativus,passiva,praesens,iminī,pluralis,secunda
indicativus,passiva,praesens,untur,pluralis,tertia
indicativus,passiva,infectum,iēbar,singularis,prima
indicativus,passiva,infectum,iēbāris,singularis,secunda
indicativus,passiva,infectum,iēbātur,singularis,tertia
indicativus,passiva,infectum,iēbāmur,pluralis,prima
indicativus,passiva,infectum,iēbāminī,pluralis,secunda
indicativus,passiva,infectum,iēbantur,pluralis,tertia
indicativus,passiva,futurum,iar,singularis,prima
indicativus,passiva,futurum,iēris,singularis,secunda
indicativus,passiva,futurum,iētur,singularis,tertia
indicativus,passiva,futurum,iēmur,pluralis,prima
indicativus,passiva,futurum,iēminī,pluralis,secunda
indicativus,passiva,futurum,ientur,pluralis,tertia
subiunctivus,activa,praesens,iam,singularis,prima
subiunctivus,activa,praesens,iās,singularis,secunda
subiunctivus,activa,praesens,iat,singularis,tertia
subiunctivus,activa,praesens,iāmus,pluralis,prima
subiunctivus,activa,praesens,iātis,pluralis,secunda
subiunctivus,activa,praesens,iant,pluralis,tertia
subiunctivus,activa,infectum,erem,singularis,prima
subiunctivus,activa,infectum,erēs,singularis,secunda
subiunctivus,activa,infectum,eret,singularis,tertia
subiunctivus,activa,infectum,erēmus,pluralis,prima
subiunctivus,activa,infectum,erētis,pluralis,secunda
subiunctivus,activa,infectum,erent,pluralis,tertia
subiunctivus,activa,perfectum,erim,singularis,prima
subiunctivus,activa,perfectum,erīs,singularis,secunda
subiunctivus,activa,perfectum,erit,singularis,tertia
subiunctivus,activa,perfectum,erīmus,pluralis,prima
subiunctivus,activa,perfectum,erītis,pluralis,secunda
subiunctivus,activa,perfectum,erint,pluralis,tertia
subiunctivus,activa,pluperfectum,issem,singularis,prima
subiunctivus,activa,pluperfectum,issēs,singularis,secunda
subiunctivus,activa,pluperfectum,isset,singularis,tertia
subiunctivus,activa,pluperfectum,issēmus,pluralis,prima
subiunctivus,activa,pluperfectum,issētis,pluralis,secunda
subiunctivus,activa,pluperfectum,issent,pluralis,tertia
subiunctivus,passiva,praesens,iar,singularis,prima
subiunctivus,passiva,praesens,iāris,singularis,secunda
subiunctivus,passiva,praesens,iātur,singularis,tertia
subiunctivus,passiva,praesens,iāmur,pluralis,prima
subiunctivus,passiva,praesens,iāminī,pluralis,secunda
subiunctivus,passiva,praesens,iantur,pluralis,tertia
subiunctivus,passiva,infectum,erer,singularis,prima
subiunctivus,passiva,infectum,erēris,singularis,secunda
subiunctivus,passiva,infectum,erētur,singularis,tertia
subiunctivus,passiva,infectum,erēmur,pluralis,prima
subiunctivus,passiva,infectum,erēminī,pluralis,secunda
subiunctivus,passiva,infectum,erentur,pluralis,tertia
