numerus,casus,scriptum,genus,gradus
pluralis,dativus,īs
pluralis,ablativus,īs
pluralis,locativus,īs
singularis,nominativus,um,neutrum
singularis,genitivus,ī,neutrum
singularis,dativus,ō,neutrum
singularis,accusativus,um,neutrum
singularis,ablativus,ō,neutrum
singularis,locativus,ō,neutrum
singularis,vocativus,um,neutrum
pluralis,nominativus,a,neutrum
pluralis,genitivus,ōrum,neutrum
pluralis,accusativus,a,neutrum
pluralis,vocativus,a,neutrum
singularis,nominativus,us,masculinum
singularis,genitivus,ī,masculinum
singularis,dativus,ō,masculinum
singularis,accusativus,um,masculinum
singularis,ablativus,ō,masculinum
singularis,locativus,ō,masculinum
singularis,vocativus,e,masculinum
pluralis,nominativus,ī,masculinum
pluralis,genitivus,ōrum,masculinum
pluralis,accusativus,ōs,masculinum
pluralis,vocativus,ī,masculinum
singularis,nominativus,a,femininum
singularis,genitivus,ae,femininum
singularis,dativus,ae,femininum
singularis,accusativus,am,femininum
singularis,ablativus,ā,femininum
singularis,locativus,ā,femininum
singularis,vocativus,a,femininum
pluralis,nominativus,ae,femininum
pluralis,genitivus,ārum,femininum
pluralis,accusativus,ās,femininum
pluralis,vocativus,ae,femininum
