numerus,casus,scriptum,gradus
singularis,genitivus,īus
singularis,dativus,ī
pluralis,dativus,īs
pluralis,ablativus,īs
pluralis,locaivus,īs
singularis,nominativus,um,neutrum
singularis,accusativus,um,neutrum
singularis,ablativus,ō,neutrum
singularis,locaivus,ō,neutrum
singularis,vocativus,um,neutrum
pluralis,nominativus,a,neutrum
pluralis,genitivus,ōrum,neutrum
pluralis,accusativus,a,neutrum
pluralis,vocativus,a,neutrum
singularis,nominativus,us,masculinum
singularis,accusativus,um,masculinum
singularis,ablativus,ō,masculinum
singularis,locaivus,ō,masculinum
singularis,vocativus,e,masculinum
pluralis,nominativus,ī,masculinum
pluralis,genitivus,ōrum,masculinum
pluralis,accusativus,ōs,masculinum
pluralis,vocativus,ī,masculinum
singularis,nominativus,a,femininum
singularis,accusativus,am,femininum
singularis,ablativus,ā,femininum
singularis,locaivus,ā,femininum
singularis,vocativus,a,femininum
pluralis,nominativus,ae,femininum
pluralis,genitivus,ārum,femininum
pluralis,accusativus,ās,femininum
pluralis,vocativus,ae,femininum
