numerus,genus,gradus,casus,scriptum
singularis,,,genitivus,is
singularis,,,dativus,ī
singularis,,,ablativus,e
singularis,,,locaivus,e
pluralis,,,genitivus,um
pluralis,,,dativus,ibus
pluralis,,,ablativus,ibus
pluralis,,,locaivus,ibus
singularis,neutrum,,nominativus,e
singularis,neutrum,,accusativus,e
singularis,neutrum,,vocativus,e
pluralis,neutrum,,nominativus,a
pluralis,neutrum,,accusativus,a
pluralis,neutrum,,vocativus,a
singularis,masculinum,,nominativus
singularis,masculinum,,accusativus,em
singularis,masculinum,,vocativus
pluralis,masculinum,,nominativus,ēs
pluralis,masculinum,,accusativus,ēs
pluralis,masculinum,,vocativus
singularis,femininum,,nominativus
singularis,femininum,,accusativus,em
singularis,femininum,,vocativus
pluralis,femininum,,nominativus,ēs
pluralis,femininum,,accusativus,ēs
pluralis,femininum,,vocativus
