gradus,numerus,casus,genus,scriptum
positivus,pluralis,dativus,,īs
positivus,pluralis,ablativus,,īs
positivus,pluralis,locaivus,,īs
positivus,singularis,nominativus,neutrum,um
positivus,singularis,genitivus,neutrum,ī
positivus,singularis,dativus,neutrum,ō
positivus,singularis,accusativus,neutrum,um
positivus,singularis,ablativus,neutrum,ō
positivus,singularis,locaivus,neutrum,ō
positivus,singularis,vocativus,neutrum,um
positivus,pluralis,nominativus,neutrum,a
positivus,pluralis,genitivus,neutrum,ōrum
positivus,pluralis,accusativus,neutrum,a
positivus,pluralis,vocativus,neutrum,a
positivus,singularis,nominativus,masculinum,us
positivus,singularis,genitivus,masculinum,ī
positivus,singularis,dativus,masculinum,ō
positivus,singularis,accusativus,masculinum,um
positivus,singularis,ablativus,masculinum,ō
positivus,singularis,locaivus,masculinum,ō
positivus,singularis,vocativus,masculinum,e
positivus,pluralis,nominativus,masculinum,ī
positivus,pluralis,genitivus,masculinum,ōrum
positivus,pluralis,accusativus,masculinum,ōs
positivus,pluralis,vocativus,masculinum,ī
positivus,singularis,nominativus,femininum,a
positivus,singularis,genitivus,femininum,ae
positivus,singularis,dativus,femininum,ae
positivus,singularis,accusativus,femininum,am
positivus,singularis,ablativus,femininum,ā
positivus,singularis,locaivus,femininum,ā
positivus,singularis,vocativus,femininum,a
positivus,pluralis,nominativus,femininum,ae
positivus,pluralis,genitivus,femininum,ārum
positivus,pluralis,accusativus,femininum,ās
positivus,pluralis,vocativus,femininum,ae
comparativus,singularis,genitivus,,iōris
superlativus,singularis,dativus,,iōrī
superlativus,singularis,ablativus,,iōre
superlativus,singularis,locaivus,,iōre
comparativus,pluralis,genitivus,,iōrum
superlativus,pluralis,dativus,,iōribus
superlativus,pluralis,ablativus,,iōribus
superlativus,pluralis,locaivus,,iōribus
comparativus,singularis,nominativus,neutrum,ius
superlativus,singularis,accusativus,neutrum,ius
comparativus,singularis,vocaivus,neutrum,ius
comparativus,pluralis,nominativus,neutrum,iōra
superlativus,pluralis,accusativus,neutrum,iōra
comparativus,pluralis,vocaivus,neutrum,iōra
comparativus,singularis,nominativus,masculinum,ior
superlativus,singularis,accusativus,masculinum,iōrem
comparativus,singularis,vocaivus,masculinum,ior
comparativus,pluralis,nominativus,masculinum,iōrēs
superlativus,pluralis,accusativus,masculinum,iōrēs
comparativus,pluralis,vocaivus,masculinum,iōrēs
comparativus,singularis,nominativus,femininum,ior
superlativus,singularis,accusativus,femininum,iōrem
comparativus,singularis,vocaivus,femininum,ior
comparativus,pluralis,nominativus,femininum,iōrēs
superlativus,pluralis,accusativus,femininum,iōrēs
comparativus,pluralis,vocaivus,femininum,iōrēs
superlativus,pluralis,dativus,,īs
superlativus,pluralis,ablativus,,īs
superlativus,pluralis,locaivus,,īs
superlativus,singularis,nominativus,neutrum,um
superlativus,singularis,genitivus,neutrum,ī
superlativus,singularis,dativus,neutrum,ō
superlativus,singularis,accusativus,neutrum,um
superlativus,singularis,ablativus,neutrum,ō
superlativus,singularis,locaivus,neutrum,ō
superlativus,singularis,vocativus,neutrum,um
superlativus,pluralis,nominativus,neutrum,a
superlativus,pluralis,genitivus,neutrum,ōrum
superlativus,pluralis,accusativus,neutrum,a
superlativus,pluralis,vocativus,neutrum,a
superlativus,singularis,nominativus,masculinum,us
superlativus,singularis,genitivus,masculinum,ī
superlativus,singularis,dativus,masculinum,ō
superlativus,singularis,accusativus,masculinum,um
superlativus,singularis,ablativus,masculinum,ō
superlativus,singularis,locaivus,masculinum,ō
superlativus,singularis,vocativus,masculinum,e
superlativus,pluralis,nominativus,masculinum,ī
superlativus,pluralis,genitivus,masculinum,ōrum
superlativus,pluralis,accusativus,masculinum,ōs
superlativus,pluralis,vocativus,masculinum,ī
superlativus,singularis,nominativus,femininum,a
superlativus,singularis,genitivus,femininum,ae
superlativus,singularis,dativus,femininum,ae
superlativus,singularis,accusativus,femininum,am
superlativus,singularis,ablativus,femininum,ā
superlativus,singularis,locaivus,femininum,ā
superlativus,singularis,vocativus,femininum,a
superlativus,pluralis,nominativus,femininum,ae
superlativus,pluralis,genitivus,femininum,ārum
superlativus,pluralis,accusativus,femininum,ās
superlativus,pluralis,vocativus,femininum,ae
