gradus       ,genus      ,numeralis  ,casus       ,scriptum
positivus    ,neutrum    ,singularis ,nominativus ,um
positivus    ,neutrum    ,singularis ,genitivus   ,ī
positivus    ,neutrum    ,singularis ,dativus     ,ō
positivus    ,neutrum    ,singularis ,accusativus ,um
positivus    ,neutrum    ,singularis ,ablativus   ,ō
positivus    ,neutrum    ,singularis ,locaivus    ,ō
positivus    ,neutrum    ,singularis ,vocativus   ,um
positivus    ,neutrum    ,pluralis   ,nominativus ,a
positivus    ,neutrum    ,pluralis   ,genitivus   ,ōrum
positivus    ,neutrum    ,pluralis   ,dativus     ,īs
positivus    ,neutrum    ,pluralis   ,accusativus ,a
positivus    ,neutrum    ,pluralis   ,ablativus   ,īs
positivus    ,neutrum    ,pluralis   ,locaivus    ,īs
positivus    ,neutrum    ,pluralis   ,vocativus   ,a
positivus    ,masculinum ,singularis ,nominativus ,us
positivus    ,masculinum ,singularis ,genitivus   ,ī
positivus    ,masculinum ,singularis ,dativus     ,ō
positivus    ,masculinum ,singularis ,accusativus ,um
positivus    ,masculinum ,singularis ,ablativus   ,ō
positivus    ,masculinum ,singularis ,locaivus    ,ō
positivus    ,masculinum ,singularis ,vocativus   ,e
positivus    ,masculinum ,pluralis   ,nominativus ,ī
positivus    ,masculinum ,pluralis   ,genitivus   ,ōrum
positivus    ,masculinum ,pluralis   ,dativus     ,īs
positivus    ,masculinum ,pluralis   ,accusativus ,ōs
positivus    ,masculinum ,pluralis   ,ablativus   ,īs
positivus    ,masculinum ,pluralis   ,locaivus    ,īs
positivus    ,masculinum ,pluralis   ,vocativus   ,ī
positivus    ,femininum  ,singularis ,nominativus ,a
positivus    ,femininum  ,singularis ,genitivus   ,ae
positivus    ,femininum  ,singularis ,dativus     ,ae
positivus    ,femininum  ,singularis ,accusativus ,am
positivus    ,femininum  ,singularis ,ablativus   ,ā
positivus    ,femininum  ,singularis ,locaivus    ,ā
positivus    ,femininum  ,singularis ,vocativus   ,a
positivus    ,femininum  ,pluralis   ,nominativus ,ae
positivus    ,femininum  ,pluralis   ,genitivus   ,ārum
positivus    ,femininum  ,pluralis   ,dativus     ,īs
positivus    ,femininum  ,pluralis   ,accusativus ,ās
positivus    ,femininum  ,pluralis   ,ablativus   ,īs
positivus    ,femininum  ,pluralis   ,locaivus    ,īs
positivus    ,femininum  ,pluralis   ,vocativus   ,ae
comparativus ,neutrum    ,singularis ,nominativus ,ius
comparativus ,neutrum    ,singularis ,genitivus   ,iōris
superlativus ,neutrum    ,singularis ,dativus     ,iōrī
superlativus ,neutrum    ,singularis ,accusativus ,ius
superlativus ,neutrum    ,singularis ,ablativus   ,iōre
superlativus ,neutrum    ,singularis ,locaivus    ,iōre
comparativus ,neutrum    ,singularis ,vocaivus    ,ius
