gradus,numerus,casus,genus,scriptum
positivus,singularis,genitivus,,is
positivus,singularis,dativus,,ī
positivus,singularis,ablativus,,e
positivus,singularis,locativus,,e
positivus,pluralis,genitivus,,um
positivus,pluralis,dativus,,ibus
positivus,pluralis,ablativus,,ibus
positivus,pluralis,locativus,,ibus
positivus,singularis,nominativus,neutrum,e
positivus,singularis,accusativus,neutrum,e
positivus,singularis,vocativus,neutrum,e
positivus,pluralis,nominativus,neutrum,a
positivus,pluralis,accusativus,neutrum,a
positivus,pluralis,vocativus,neutrum,a
positivus,singularis,nominativus,masculinum
positivus,singularis,accusativus,masculinum,em
positivus,singularis,vocativus,masculinum
positivus,pluralis,nominativus,masculinum,ēs
positivus,pluralis,accusativus,masculinum,ēs
positivus,pluralis,vocativus,masculinum
positivus,singularis,nominativus,femininum
positivus,singularis,accusativus,femininum,em
positivus,singularis,vocativus,femininum
positivus,pluralis,nominativus,femininum,ēs
positivus,pluralis,accusativus,femininum,ēs
positivus,pluralis,vocativus,femininum
comparativus,singularis,genitivus,,iōris
comparativus,singularis,dativus,,iōrī
comparativus,singularis,ablativus,,iōre
comparativus,singularis,locativus,,iōre
comparativus,pluralis,genitivus,,iōrum
comparativus,pluralis,dativus,,iōribus
comparativus,pluralis,ablativus,,iōribus
comparativus,pluralis,locativus,,iōribus
comparativus,singularis,nominativus,neutrum,ius
comparativus,singularis,vocaivus,neutrum,ius
comparativus,pluralis,nominativus,neutrum,iōra
comparativus,pluralis,vocaivus,neutrum,iōra
comparativus,singularis,nominativus,masculinum,ior
comparativus,singularis,vocaivus,masculinum,ior
comparativus,pluralis,nominativus,masculinum,iōrēs
comparativus,pluralis,vocaivus,masculinum,iōrēs
comparativus,singularis,nominativus,femininum,ior
comparativus,singularis,vocaivus,femininum,ior
comparativus,pluralis,nominativus,femininum,iōrēs
comparativus,pluralis,vocaivus,femininum,iōrēs
superlativus,pluralis,dativus,,īs
superlativus,pluralis,ablativus,,īs
superlativus,pluralis,locativus,,īs
superlativus,singularis,nominativus,neutrum,um
superlativus,singularis,genitivus,neutrum,ī
superlativus,singularis,dativus,neutrum,ō
superlativus,singularis,accusativus,neutrum,um
superlativus,singularis,ablativus,neutrum,ō
superlativus,singularis,locativus,neutrum,ō
superlativus,pluralis,nominativus,neutrum,a
superlativus,pluralis,genitivus,neutrum,ōrum
superlativus,pluralis,accusativus,neutrum,a
superlativus,singularis,nominativus,masculinum,us
superlativus,singularis,genitivus,masculinum,ī
superlativus,singularis,dativus,masculinum,ō
superlativus,singularis,accusativus,masculinum,um
superlativus,singularis,ablativus,masculinum,ō
superlativus,singularis,locativus,masculinum,ō
superlativus,pluralis,nominativus,masculinum,ī
superlativus,pluralis,genitivus,masculinum,ōrum
superlativus,pluralis,accusativus,masculinum,ōs
superlativus,singularis,nominativus,femininum,a
superlativus,singularis,genitivus,femininum,ae
superlativus,singularis,dativus,femininum,ae
superlativus,singularis,accusativus,femininum,am
superlativus,singularis,ablativus,femininum,ā
superlativus,singularis,locativus,femininum,ā
superlativus,pluralis,nominativus,femininum,ae
superlativus,pluralis,genitivus,femininum,ārum
superlativus,pluralis,accusativus,femininum,ās
